wetarank,,,
wetarank,eightyninerank,abcrank,composer,title,themekey,thememeter,themesolfege,composer-title,0308
1,2,3,"Ludwig van Beethoven","Symphony #9 ""Choral""",?,?,"mi mi fa sol sol fa mi re do do re mi mi re re",ludwig-van-beethoven-symphony-9-choral,"04 04 05 08 08 05 04 02 00 00 02 04 04 02 02"
2,0,0,"Ludwig van Beethoven","Symphony #7 in A Major, Op. 92",?,?,"sol fa mi fa la ti do do do do re mi mi re re re",ludwig-van-beethoven-symphony-7-in-a-major-op-92,"08 05 04 05 10 12 00 00 00 00 02 04 04 02 02 02"
2,0,0,"Ludwig van Beethoven","Symphony #7 in A Major, Op. 92",?,"2 or 4","me re re me fa me re re me me me fa fi sol sol fa sol la sol fa me",ludwig-van-beethoven-symphony-7-in-a-major-op-92,"03 02 02 03 05 03 02 02 03 03 03 05 06 08 08 05 08 10 08 05 03"
2,0,0,"Ludwig van Beethoven","Symphony #7 in A Major, Op. 92",?,?,"do mi mi sol sol do do ti la la sol fa fa mi re",ludwig-van-beethoven-symphony-7-in-a-major-op-92,"00 04 04 08 08 00 00 12 10 10 08 05 05 04 02"
3,4,,"Antonin Dvorák","Symphony #9 in E Minor, Op. 95 ""From the New World""",?,"2 or 4","do re me re do do do te sol te do. do re me re do do do me do me sol sol do",antonin-dvor-k-symphony-9-in-e-minor-op-95-from-the-new-world,"00 02 03 02 00 00 00 11 08 11 00 00 02 03 02 00 00 00 03 00 03 08 08 00"
4,,4,"Ludwig van Beethoven","Piano Concerto #5 ""Emperor""",?,?,"do mi mi mi sol sol do do do mi re ti re do sol sol",ludwig-van-beethoven-piano-concerto-5-emperor,"00 04 04 04 08 08 00 00 00 04 02 12 02 00 08 08"
5,9,6,"Ludwig van Beethoven","Symphony #6 in F Major, Op. 68 ""Pastoral""",?,?,"mi fa la sol fa mi re sol do re mi fa mi re mi fa sol fa mi sol sol sol sol fa mi re do ti do re mi re do re mi fa mi re fa fa fa fa",ludwig-van-beethoven-symphony-6-in-f-major-op-68-pastoral,"04 05 10 08 05 04 02 08 00 02 04 05 04 02 04 05 08 05 04 08 08 08 08 05 04 02 00 12 00 02 04 02 00 02 04 05 04 02 05 05 05 05"
6,0,0,"Camille Saint-Saëns","Symphony #3 ""Organ""",?,"2 or 4","mi re mi do re mi sol fa sol sol sol la fa re mi fa sol re",camille-saint-sa-ns-symphony-3-organ,"04 02 04 00 02 04 08 05 08 08 08 10 05 02 04 05 08 02"
6,0,0,"Camille Saint-Saëns","Symphony #3 ""Organ""",?,"3 or 6","do do do do re me me me me re do do do do sol",camille-saint-sa-ns-symphony-3-organ,"00 00 00 00 02 03 03 03 03 02 00 00 00 00 08"
7,6,0,"Ludwig van Beethoven","Symphony #5 in C Minor, Op. 67",?,"2 or 4","sol sol me fa fa fa re",ludwig-van-beethoven-symphony-5-in-c-minor-op-67,"08 08 03 05 05 05 02"
8,0,0,"Modest Mussurgsky","Pictures at an Exhibition",?,?,"la sol do re sol mi re sol mi do re la sol",modest-mussurgsky-pictures-at-an-exhibition,"10 08 00 02 08 04 02 08 04 00 02 10 08"
9,0,2,"Ralph Vaughan Williams"," The Lark Ascending",?,?,"do re me me do te le te do te me fa sol fa me fa sol fa me do te do",ralph-vaughan-williams-the-lark-ascending,"00 02 03 03 00 11 09 11 00 11 03 05 08 05 03 05 08 05 03 00 11 00"
9,0,2,"Ralph Vaughan Williams","The Lark Ascending",?,?,"sol la do do re do la sol la do do re mi fa mi re do re sol sol fa sol mi sol la ti do ti la sol mi re do re mi do la do re",ralph-vaughan-williams-the-lark-ascending,"08 10 00 00 02 00 10 08 10 00 00 02 04 05 04 02 00 02 08 08 05 08 04 08 10 12 00 12 10 08 04 02 00 02 04 00 10 00 02"
